;  Henke constants used in calculating transmissions
;	Transmission = exp( -1. * thickness_in_Angstroms / mu )
;	where "mu" is the Henke constant listed below
;
;	Tom Woods
;	26 May 2005
;
;	NOTE:  XPS responsitivity is calculated using "SiO" as separate item
;	instead of using Si and O separately.
;
FORMAT = (F10.3,6E11.3)
 301 lines : Henke constants from Tom Woods for comparison
 7 columns : Wavelength_Angstrom  mu_Ti   mu_Al  mu_C   mu_Si   mu_SiO   mu_O
     3.589  9.818E+04  6.996E+04  8.684E+05  6.418E+04  9.488E+04  2.281E+05
     3.495  1.056E+05  7.534E+04  9.419E+05  6.905E+04  1.021E+05  2.468E+05
     3.403  1.135E+05  8.117E+04  1.022E+06  7.431E+04  1.100E+05  2.671E+05
     3.313  1.221E+05  8.745E+04  1.109E+06  7.998E+04  1.185E+05  2.891E+05
     3.226  1.312E+05  9.425E+04  1.203E+06  8.610E+04  1.276E+05  3.131E+05
     3.141  1.411E+05  1.016E+05  1.306E+06  9.272E+04  1.375E+05  3.392E+05
     3.058  1.518E+05  1.095E+05  1.417E+06  9.986E+04  1.482E+05  3.676E+05
     2.978  1.633E+05  1.181E+05  1.539E+06  1.076E+05  1.598E+05  3.983E+05
     2.899  1.756E+05  1.273E+05  1.671E+06  1.159E+05  1.722E+05  4.318E+05
     2.823  1.889E+05  1.373E+05  1.814E+06  1.249E+05  1.857E+05  4.681E+05
     2.749  2.032E+05  1.482E+05  1.971E+06  1.346E+05  2.003E+05  5.075E+05
     2.676  2.186E+05  1.599E+05  2.141E+06  1.452E+05  2.161E+05  5.503E+05
     2.606  2.352E+05  1.725E+05  2.326E+06  1.565E+05  2.331E+05  5.967E+05
     2.537  2.531E+05  1.861E+05  2.527E+06  1.688E+05  2.516E+05  6.472E+05
     2.470  3.161E+04  2.009E+05  2.747E+06  1.820E+05  2.715E+05  7.021E+05
     2.405  3.375E+04  2.169E+05  2.985E+06  1.964E+05  2.930E+05  7.617E+05
     2.342  3.605E+04  2.342E+05  3.245E+06  2.119E+05  3.163E+05  8.265E+05
     2.280  3.853E+04  2.528E+05  3.529E+06  2.286E+05  3.415E+05  8.968E+05
     2.220  4.121E+04  2.731E+05  3.836E+06  2.467E+05  3.688E+05  9.733E+05
     2.162  4.409E+04  2.949E+05  4.172E+06  2.663E+05  3.983E+05  1.056E+06
     2.105  4.720E+04  3.185E+05  4.539E+06  2.874E+05  4.301E+05  1.147E+06
     2.049  5.056E+04  3.441E+05  4.937E+06  3.103E+05  4.647E+05  1.245E+06
     1.995  5.417E+04  3.718E+05  5.372E+06  3.351E+05  5.020E+05  1.352E+06
     1.943  5.806E+04  4.017E+05  5.845E+06  3.619E+05  5.424E+05  1.468E+06
     1.892  6.227E+04  4.341E+05  6.362E+06  3.908E+05  5.861E+05  1.595E+06
     1.842  6.680E+04  4.691E+05  6.924E+06  4.221E+05  6.335E+05  1.733E+06
     1.793  7.169E+04  5.071E+05  7.540E+06  4.560E+05  6.847E+05  1.882E+06
     1.746  7.697E+04  5.481E+05  8.208E+06  4.927E+05  7.402E+05  2.045E+06
     1.700  8.266E+04  5.926E+05  8.938E+06  5.323E+05  8.002E+05  2.223E+06
     1.655  8.880E+04  6.407E+05  9.737E+06  5.753E+05  8.652E+05  2.416E+06
     1.612  9.543E+04  6.928E+05  1.060E+07  6.217E+05  9.356E+05  2.626E+06
     1.569  1.026E+05  7.492E+05  1.155E+07  6.720E+05  1.012E+06  2.855E+06
     1.528  1.103E+05  8.102E+05  1.260E+07  7.264E+05  1.094E+06  3.104E+06
     1.488  1.186E+05  8.763E+05  1.373E+07  7.853E+05  1.184E+06  3.375E+06
     1.449  1.276E+05  9.480E+05  1.497E+07  8.490E+05  1.280E+06  3.671E+06
     1.410  1.374E+05  1.026E+06  1.632E+07  9.181E+05  1.385E+06  3.993E+06
     1.373  1.478E+05  1.110E+06  1.779E+07  9.928E+05  1.499E+06  4.344E+06
     1.337  1.592E+05  1.201E+06  1.940E+07  1.074E+06  1.622E+06  4.727E+06
     1.302  1.714E+05  1.299E+06  2.116E+07  1.161E+06  1.755E+06  5.143E+06
     1.268  1.846E+05  1.406E+06  2.311E+07  1.256E+06  1.900E+06  5.598E+06
     1.234  2.010E+05  1.509E+06  2.538E+07  1.351E+06  2.047E+06  6.143E+06
     1.202  2.185E+05  1.622E+06  2.787E+07  1.455E+06  2.208E+06  6.732E+06
     1.170  2.355E+05  1.756E+06  3.045E+07  1.574E+06  2.390E+06  7.332E+06
     1.139  2.538E+05  1.901E+06  3.322E+07  1.703E+06  2.588E+06  7.981E+06
     1.109  2.737E+05  2.059E+06  3.624E+07  1.844E+06  2.802E+06  8.692E+06
     1.080  2.951E+05  2.229E+06  3.966E+07  1.995E+06  3.034E+06  9.467E+06
     1.052  3.183E+05  2.414E+06  4.324E+07  2.160E+06  3.287E+06  1.032E+07
     1.024  3.433E+05  2.615E+06  4.726E+07  2.338E+06  3.560E+06  1.124E+07
     0.997  3.705E+05  2.833E+06  5.162E+07  2.532E+06  3.856E+06  1.225E+07
     0.971  3.997E+05  3.068E+06  5.649E+07  2.741E+06  4.178E+06  1.335E+07
     0.945  4.314E+05  3.324E+06  6.168E+07  2.969E+06  4.527E+06  1.455E+07
     0.920  4.657E+05  3.602E+06  6.738E+07  3.215E+06  4.905E+06  1.586E+07
     0.896  5.027E+05  3.904E+06  7.391E+07  3.482E+06  5.315E+06  1.728E+07
     0.872  5.428E+05  4.231E+06  8.066E+07  3.772E+06  5.761E+06  1.885E+07
     0.849  5.862E+05  4.586E+06  8.830E+07  4.088E+06  6.246E+06  2.053E+07
     0.827  6.331E+05  4.972E+06  9.642E+07  4.429E+06  6.770E+06  2.240E+07
     0.805  6.838E+05  5.391E+06  1.055E+08  4.798E+06  7.339E+06  2.442E+07
     0.784  7.387E+05  5.847E+06  1.157E+08  5.200E+06  7.958E+06  2.663E+07
     0.763  7.981E+05  6.340E+06  1.261E+08  5.637E+06  8.630E+06  2.908E+07
