; #
; # NRLEUV Quiet Sun Irradiances from 50-1200 A
; # File generated: Thu Jun 24 12:29:02 2004   by  Harry Warren, NRL
; #
; # Wavelengths are in angstroms.
; # Irradiances are in photons/cm^2/sec.
; #
; # Wavelength bins are centered, i.e., 50.5 corresponds
; # to wavelengths greater or equal to 50 A and less
; # than 51 A.
; # 
; # WAVELENGTH IRRADIANCE
 1200 lines  :  NRLEUV Version 2 Quiet Sun irradiance
    2 columns :  wavelength (Angstroms), irradiance (photons/cm^2/sec)
     644.5   2.291e+07
     645.5   8.620e+06
     646.5   1.976e+06
     647.5   1.568e+06
     648.5   1.716e+06
     649.5   3.408e+06
     650.5   1.740e+06
     651.5   1.697e+06
     652.5   1.894e+06
     653.5   2.089e+06
     654.5   2.269e+06
     655.5   2.834e+06
     656.5   1.908e+06
     657.5   2.836e+07
     658.5   4.592e+06
     659.5   5.409e+06
     660.5   8.541e+06
     661.5   4.653e+07
     662.5   2.120e+06
     663.5   7.121e+06
     664.5   2.255e+06
     665.5   3.332e+06
     666.5   2.547e+06
     667.5   2.298e+06
     668.5   2.342e+06
     669.5   2.411e+06
     670.5   4.015e+06
     671.5   1.542e+07
     672.5   4.531e+06
     673.5   2.748e+06
     674.5   4.043e+06
     675.5   2.845e+06
     676.5   6.257e+06
     677.5   7.827e+06
     678.5   8.801e+06
     679.5   7.186e+06
     680.5   3.922e+07
     681.5   1.938e+07
     682.5   3.064e+06
     683.5   1.954e+07
     684.5   2.241e+07
     685.5   1.371e+08
     686.5   2.237e+07
     687.5   3.396e+06
     688.5   3.742e+06
     689.5   5.454e+06
     690.5   2.307e+07
     691.5   1.012e+07
     692.5   3.832e+06
     693.5   3.782e+06
     694.5   2.072e+07
     695.5   4.034e+06
     696.5   8.551e+06
     697.5   4.070e+06
     698.5   6.665e+06
     699.5   4.491e+06
     700.5   3.082e+07
     701.5   4.394e+06
     702.5   1.999e+08
     703.5   2.396e+08
     704.5   8.213e+06
     705.5   4.798e+06
     706.5   4.270e+07
     707.5   5.509e+06
     708.5   5.078e+06
     709.5   5.115e+06
     710.5   2.027e+07
     711.5   5.382e+06
     712.5   1.044e+07
     713.5   1.499e+07
     714.5   5.772e+06
     715.5   5.831e+06
     716.5   6.191e+06
     717.5   7.057e+06
     718.5   1.740e+08
     719.5   6.251e+06
     720.5   6.310e+06
     721.5   6.431e+06
     722.5   6.555e+06
     723.5   6.705e+06
     724.5   9.043e+06
     725.5   1.314e+07
     726.5   7.111e+06
     727.5   7.276e+06
     728.5   1.656e+07
     729.5   1.253e+07
     730.5   1.229e+07
     731.5   7.778e+06
     732.5   8.234e+06
     733.5   8.076e+06
     734.5   8.241e+06
     735.5   9.200e+06
     736.5   8.574e+06
     737.5   8.719e+06
     738.5   9.364e+06
     739.5   9.057e+06
     740.5   9.287e+06
     741.5   9.397e+06
     742.5   9.605e+06
     743.5   9.769e+06
     744.5   1.912e+07
     745.5   1.200e+07
     746.5   2.055e+07
     747.5   1.062e+07
     748.5   2.861e+07
     749.5   1.772e+07
     750.5   5.471e+07
     751.5   1.136e+07
     752.5   1.176e+07
     753.5   2.149e+07
     754.5   1.206e+07
     755.5   1.228e+07
     756.5   1.315e+07
     757.5   1.273e+07
     758.5   4.126e+07
     759.5   3.437e+07
     760.5   1.112e+08
     761.5   1.542e+07
     762.5   4.100e+07
     763.5   3.474e+07
     764.5   5.422e+07
     765.5   3.935e+08
     766.5   1.509e+07
     767.5   1.538e+07
     768.5   1.569e+07
     769.5   1.859e+07
     770.5   3.834e+08
     771.5   1.973e+07
     772.5   3.510e+07
     773.5   1.723e+07
     774.5   2.152e+07
     775.5   4.700e+07
     776.5   2.163e+07
     777.5   1.859e+07
     778.5   1.896e+07
     779.5   3.173e+07
     780.5   2.066e+08
     781.5   2.005e+07
     782.5   2.903e+07
     783.5   2.082e+07
     784.5   2.134e+07
     785.5   2.170e+07
     786.5   1.615e+08
     787.5   3.288e+08
     788.5   2.288e+07
     789.5   2.665e+07
     790.5   6.374e+08
     791.5   2.422e+07
     792.5   2.468e+07
     793.5   2.515e+07
     794.5   2.573e+07
     795.5   2.612e+07
     796.5   6.193e+07
     797.5   2.712e+07
     798.5   2.767e+07
