 1240 lines : MEGS A2 responsivity (electrons / photons) : includes Filter transmission & CCD response
 3 columns : Wavelength (nm), A2-Primary Filter (92 Al/ 24 Ge/ 32 C),  A2-Second Order Filter (170 Al/ 283 Mg/ 19 C)
      57.8500    0.0314793    0.0732724
      57.9500    0.0309658    0.0724741
      58.0500    0.0304522    0.0716757
      58.1500    0.0299387    0.0708774
      58.2500    0.0294251    0.0700790
      58.3500    0.0289116    0.0692806
      58.4500    0.0283980    0.0684823
      58.5500    0.0278845    0.0676839
      58.6500    0.0273709    0.0668855
      58.7500    0.0269016    0.0661471
      58.8500    0.0265363    0.0655496
      58.9500    0.0261709    0.0649521
      59.0500    0.0258056    0.0643546
      59.1500    0.0254403    0.0637571
      59.2500    0.0250750    0.0631596
      59.3500    0.0247096    0.0625621
      59.4500    0.0243443    0.0619646
      59.5500    0.0239790    0.0613671
      59.6500    0.0236137    0.0607696
      59.7500    0.0232483    0.0601721
      59.8500    0.0228830    0.0595746
      59.9500    0.0225177    0.0589771
      60.0500    0.0221524    0.0583796
      60.1500    0.0217870    0.0577821
      60.2500    0.0214217    0.0571846
      60.3500    0.0211026    0.0566337
      60.4500    0.0208484    0.0561484
      60.5500    0.0205943    0.0556632
      60.6500    0.0203401    0.0551779
      60.7500    0.0200860    0.0546926
      60.8500    0.0198318    0.0542073
      60.9500    0.0195777    0.0537220
      61.0500    0.0193235    0.0532367
      61.1500    0.0190693    0.0527515
      61.2500    0.0188152    0.0522662
      61.3500    0.0185610    0.0517809
      61.4500    0.0183069    0.0512956
      61.5500    0.0180527    0.0508103
      61.6500    0.0177986    0.0503250
      61.7500    0.0175444    0.0498398
      61.8500    0.0172902    0.0493545
      61.9500    0.0170435    0.0488792
      62.0500    0.0168543    0.0484809
      62.1500    0.0166652    0.0480827
      62.2500    0.0164760    0.0476845
      62.3500    0.0162868    0.0472863
      62.4500    0.0160976    0.0468881
      62.5500    0.0159084    0.0464899
      62.6500    0.0157193    0.0460917
      62.7500    0.0155301    0.0456935
      62.8500    0.0153409    0.0452952
      62.9500    0.0151517    0.0448970
      63.0500    0.0149625    0.0444988
      63.1500    0.0147733    0.0441006
      63.2500    0.0145842    0.0437024
      63.3500    0.0143950    0.0433042
      63.4500    0.0142058    0.0429060
      63.5500    0.0140166    0.0425078
      63.6500    0.0138406    0.0421327
      63.7500    0.0136875    0.0417980
      63.8500    0.0135343    0.0414633
      63.9500    0.0133812    0.0411285
      64.0500    0.0132281    0.0407938
      64.1500    0.0130750    0.0404591
      64.2500    0.0129218    0.0401243
      64.3500    0.0127687    0.0397896
      64.4500    0.0126156    0.0394548
      64.5500    0.0124625    0.0391201
      64.6500    0.0123093    0.0387854
      64.7500    0.0121562    0.0384506
      64.8500    0.0120031    0.0381159
      64.9500    0.0118500    0.0377812
      65.0500    0.0116968    0.0374464
      65.1500    0.0115437    0.0371117
      65.2500    0.0113906    0.0367770
      65.3500    0.0112423    0.0364520
      65.4500    0.0111259    0.0361912
      65.5500    0.0110095    0.0359303
      65.6500    0.0108931    0.0356695
      65.7500    0.0107767    0.0354086
      65.8500    0.0106603    0.0351478
      65.9500    0.0105439    0.0348870
      66.0500    0.0104274    0.0346261
      66.1500    0.0103110    0.0343653
      66.2500    0.0101946    0.0341044
      66.3500    0.0100782    0.0338436
      66.4500   0.00996180    0.0335828
      66.5500   0.00984539    0.0333219
      66.6500   0.00972898    0.0330611
      66.7500   0.00961257    0.0328002
      66.8500   0.00949616    0.0325394
      66.9500   0.00937974    0.0322785
      67.0500   0.00926333    0.0320177
      67.1500   0.00915735    0.0317711
      67.2500   0.00906244    0.0315397
      67.3500   0.00896752    0.0313083
      67.4500   0.00887261    0.0310770
      67.5500   0.00877770    0.0308456
      67.6500   0.00868278    0.0306142
      67.7500   0.00858787    0.0303828
      67.8500   0.00849296    0.0301514
      67.9500   0.00839804    0.0299200
      68.0500   0.00830313    0.0296886
      68.1500   0.00820822    0.0294572
      68.2500   0.00811331    0.0292258
      68.3500   0.00801839    0.0289944
      68.4500   0.00792348    0.0287630
      68.5500   0.00782857    0.0285316
      68.6500   0.00773365    0.0283002
      68.7500   0.00763874    0.0280688
      68.8500   0.00754383    0.0278374
      68.9500   0.00745546    0.0276116
      69.0500   0.00738112    0.0273977
      69.1500   0.00730678    0.0271838
      69.2500   0.00723244    0.0269699
      69.3500   0.00715810    0.0267560
      69.4500   0.00708376    0.0265421
      69.5500   0.00700942    0.0263282
      69.6500   0.00693508    0.0261143
      69.7500   0.00686074    0.0259003
      69.8500   0.00678640    0.0256864
      69.9500   0.00671206    0.0254725
      70.0500   0.00663772    0.0252586
      70.1500   0.00656338    0.0250447
      70.2500   0.00648904    0.0248308
