;
;	MEGS A & B Zeroth Order Trap signal estimates
;	Tom Woods   10/24/03
;
;	Assumed area of 1 mm x 10 mm, but does not include trap diode effect
;	which will increase signal strength
;
;   Index        Filter
;   -------  -----------------------------------------------------
;	1        MEGS-A with Zr filter:   Zr/C  2800/200 Angstroms
;	2        MEGS-A with Si filter:   Zr/Si/C  2300/1200/200 Angstroms
;	3        MEGS-A with Al filter:   Al/Ge/C  2000/200/200 Angstroms
;	4        MEGS-A with Mg filter:   Al/Mg/C  1800/3000/200 Angstroms
;	5        MEGS-A with Sn filter:   Al/Sn/C  1000/2000/200 Angstroms
;
;	6        MEGS-B with No filter:   bare Si diode used
;	7        MEGS-B with Mg filter:   Al/Mg/C  1800/3000/200 Angstroms
;	8        MEGS-B with Sn filter:   Al/Sn/C  1000/2000/200 Angstroms
;
;	MEGS-B with Al on diode (Al/Al2O3 of 1000/100 Angstroms)
;    9             With no filter
;	10             With Mg filter:   Al/Mg/C  1800/3000/200 Angstroms
;
  10000 lines : MEGS Zeroth Order Trap Diode Signals
  11 columns : wavelength_Angstrom, A_Zr_nA, A_Si, A_Al, A_Mg, A_Sn, B_bare, B_Mg, B_Sn, B_Al, B_AlMg
   5.1044500e-07   3.2268400e-05    0.0036326800   5.1044500e-07
   3.2268400e-05       0.0000000       0.0000000
       80.500000    0.0013671800   0.00011745200   1.0651000e-05
   4.6343800e-07   2.9791700e-05    0.0038021200   4.6343800e-07
   2.9791700e-05       0.0000000       0.0000000
       81.500000    0.0014374000   0.00012328400   1.0228700e-05
   4.1059700e-07   2.6982700e-05    0.0039800100   4.1059700e-07
   2.6982700e-05       0.0000000       0.0000000
       82.500000    0.0015050900   0.00012341700   9.9927200e-06
   3.7595500e-07   2.3939100e-05    0.0041502900   3.7595500e-07
   2.3939100e-05       0.0000000       0.0000000
       83.500000    0.0015728400   0.00012302000   9.6895000e-06
   3.3624500e-07   2.0490300e-05    0.0043191100   3.3624500e-07
   2.0490300e-05       0.0000000       0.0000000
       84.500000    0.0016376500   0.00012196300   9.4552800e-06
   3.0628900e-07   1.7696300e-05    0.0044821400   3.0628900e-07
   1.7696300e-05       0.0000000       0.0000000
       85.500000    0.0016760700   0.00011852800   9.0606100e-06
   2.7198800e-07   1.4621700e-05    0.0045728000   2.7198800e-07
   1.4621700e-05       0.0000000       0.0000000
       86.500000    0.0016817700   0.00011300800   8.5424300e-06
   2.3817800e-07   1.2010100e-05    0.0045855100   2.3817800e-07
   1.2010100e-05       0.0000000       0.0000000
       87.500000    0.0016799200   0.00010725600   8.0400000e-06
   2.0887500e-07   1.0041900e-05    0.0045877000   2.0887500e-07
   1.0041900e-05       0.0000000       0.0000000
       88.500000    0.0016736400   0.00010202100   7.5290000e-06
   1.8065500e-07   8.1852900e-06    0.0045778200   1.8065500e-07
   8.1852900e-06       0.0000000       0.0000000
       89.500000    0.0016615100   9.9480000e-05   7.0551700e-06
   1.5870500e-07   6.8649700e-06    0.0045516200   1.5870500e-07
   6.8649700e-06       0.0000000       0.0000000
       90.500000    0.0016457600   9.6712600e-05   6.5637500e-06
   1.3630100e-07   5.5230500e-06    0.0045155300   1.3630100e-07
   5.5230500e-06       0.0000000       0.0000000
       91.500000    0.0016186900   9.4668600e-05   6.0936900e-06
   1.1868300e-07   4.5248800e-06    0.0044455600   1.1868300e-07
   4.5248800e-06       0.0000000       0.0000000
       92.500000    0.0015867100   9.2617600e-05   5.6194300e-06
   1.0189500e-07   3.5920900e-06    0.0043615100   1.0189500e-07
   3.5920900e-06       0.0000000       0.0000000
       93.500000    0.0015532100   9.1727500e-05   5.1709400e-06
   8.7030800e-08   2.7953300e-06    0.0042731400   8.7030800e-08
   2.7953300e-06       0.0000000       0.0000000
       94.500000    0.0015193900   9.2819800e-05   4.7718300e-06
   7.5410400e-08   2.2228500e-06    0.0041835900   7.5410400e-08
   2.2228500e-06       0.0000000       0.0000000
       95.500000    0.0014714800   9.2977400e-05   4.3353800e-06
   6.3325100e-08   1.6420900e-06    0.0040551800   6.3325100e-08
   1.6420900e-06       0.0000000       0.0000000
       96.500000    0.0014166500   9.2953600e-05   3.9387900e-06
   5.4121400e-08   1.2668400e-06    0.0039057500   5.4121400e-08
   1.2668400e-06       0.0000000       0.0000000
       97.500000    0.0013594400   9.2626400e-05   3.5574100e-06
   4.5679700e-08   9.3885600e-07    0.0037493500   4.5679700e-08
   9.3885600e-07       0.0000000       0.0000000
       98.500000    0.0012989800   9.2651000e-05   3.2293200e-06
   3.8420800e-08   6.6652800e-07    0.0035837800   3.8420800e-08
   6.6652800e-07       0.0000000       0.0000000
       99.500000    0.0012358000   9.4202400e-05   3.0256600e-06
   3.3677700e-08   5.0948500e-07    0.0034102900   3.3677700e-08
   5.0948500e-07       0.0000000       0.0000000
       100.50000    0.0011692700   9.4964800e-05   2.8178800e-06
   2.9096100e-08   3.6202600e-07    0.0032274600   2.9096100e-08
   3.6202600e-07       0.0000000       0.0000000
       101.50000    0.0010999500   9.7550100e-05   2.6752300e-06
   2.5627300e-08   2.6261600e-07    0.0030369200   2.5627300e-08
   2.6261600e-07       0.0000000       0.0000000
       102.50000    0.0010277300   0.00010051500   2.5628400e-06
   2.2827000e-08   1.9330300e-07    0.0028382800   2.2827000e-08
   1.9330300e-07       0.0000000       0.0000000
       103.50000   0.00095240800   0.00010197800   2.4346200e-06
   2.0100500e-08   1.3006200e-07    0.0026309600   2.0100500e-08
   1.3006200e-07       0.0000000       0.0000000
       104.50000   0.00087466200   0.00010311200   2.2883300e-06
   1.7619700e-08   9.6279300e-08    0.0024147900   1.7619700e-08
   9.6279300e-08       0.0000000       0.0000000
       105.50000   0.00082186000   0.00010605800   2.1998800e-06
   1.5771100e-08   7.1021400e-08    0.0022674200   1.5771100e-08
   7.1021400e-08       0.0000000       0.0000000
       106.50000   0.00079530700   0.00011169900   2.1771400e-06
   1.4500900e-08   5.0472500e-08    0.0021922300   1.4500900e-08
   5.0472500e-08       0.0000000       0.0000000
       107.50000   0.00076865700   0.00011736800   2.1465300e-06
   1.3379100e-08   3.9577400e-08    0.0021130800   1.3379100e-08
   3.9577400e-08       0.0000000       0.0000000
       108.50000   0.00074065900   0.00012227600   2.1096600e-06
   1.2271200e-08   2.9155600e-08    0.0020305700   1.2271200e-08
   2.9155600e-08       0.0000000       0.0000000
       109.50000   0.00071116600   0.00012577400   2.0656400e-06
   1.1204300e-08   2.0232000e-08    0.0019444500   1.1204300e-08
   2.0232000e-08       0.0000000       0.0000000
       110.50000   0.00067146700   0.00012472600   1.9879200e-06
   1.0115600e-08   1.5182200e-08    0.0018313300   1.0115600e-08
   1.5182200e-08       0.0000000       0.0000000
       111.50000   0.00062394700   0.00012153400   1.8826900e-06
   8.9627300e-09   1.0409000e-08    0.0016974100   8.9627300e-09
   1.0409000e-08       0.0000000       0.0000000
       112.50000   0.00057722400   0.00011770100   1.7752300e-06
   7.9054900e-09   6.6674700e-09    0.0015667600   7.9054900e-09
   6.6674700e-09       0.0000000       0.0000000
       113.50000   0.00053093600   0.00011312200   1.6648200e-06
   6.9786400e-09   4.7956100e-09    0.0014392400   6.9786400e-09
   4.7956100e-09       0.0000000       0.0000000
       114.50000   0.00048576500   0.00010802700   1.5529600e-06
   6.1119000e-09   3.1412600e-09    0.0013150400   6.1119000e-09
   3.1412600e-09       0.0000000       0.0000000
       115.50000   0.00045101500   0.00010456800   1.4701800e-06
   5.4279200e-09   1.8969600e-09    0.0012195300   5.4279200e-09
   1.8969600e-09       0.0000000       0.0000000
       116.50000   0.00042758500   0.00010318000   1.4215000e-06
   4.9500200e-09   1.3860400e-09    0.0011556000   4.9500200e-09
   1.3860400e-09       0.0000000       0.0000000
       117.50000   0.00040451300   0.00010146900   1.3712100e-06
   4.4960800e-09   9.1801500e-10    0.0010927000   4.4960800e-09
   9.1801500e-10       0.0000000       0.0000000
