 1240 lines : MEGS A1 responsivity (electrons / photons) : includes Filter transmission & CCD response
 3 columns : Wavelength (nm), A1-Primay Filter (187 Zr/ 65 C),  A1-Second Order Filter (116 Zr/ 133 Si/ 87 C)
      55.3500  5.08277e-07  3.81857e-07
      55.4500  4.84354e-07  3.60166e-07
      55.5500  4.60432e-07  3.38475e-07
      55.6500  4.36509e-07  3.16783e-07
      55.7500  4.21286e-07  3.04116e-07
      55.8500  4.07821e-07  2.93273e-07
      55.9500  3.94357e-07  2.82430e-07
      56.0500  3.80892e-07  2.71587e-07
      56.1500  3.67428e-07  2.60744e-07
      56.2500  3.53963e-07  2.49901e-07
      56.3500  3.40498e-07  2.39058e-07
      56.4500  3.27034e-07  2.28215e-07
      56.5500  3.13569e-07  2.17372e-07
      56.6500  3.00105e-07  2.06529e-07
      56.7500  2.86640e-07  1.95686e-07
      56.8500  2.73175e-07  1.84843e-07
      56.9500  2.59711e-07  1.74000e-07
      57.0500  2.46246e-07  1.63157e-07
      57.1500  2.32782e-07  1.52314e-07
      57.2500  2.24034e-07  1.45597e-07
      57.3500  2.16763e-07  1.40169e-07
      57.4500  2.09491e-07  1.34742e-07
      57.5500  2.02219e-07  1.29315e-07
      57.6500  1.94947e-07  1.23887e-07
      57.7500  1.87675e-07  1.18460e-07
      57.8500  1.80403e-07  1.13033e-07
      57.9500  1.73132e-07  1.07605e-07
      58.0500  1.65860e-07  1.02178e-07
      58.1500  1.58588e-07  9.67507e-08
      58.2500  1.51316e-07  9.13233e-08
      58.3500  1.44044e-07  8.58960e-08
      58.4500  1.36772e-07  8.04687e-08
      58.5500  1.29500e-07  7.50414e-08
      58.6500  1.22229e-07  6.96141e-08
      58.7500  1.15929e-07  6.50475e-08
      58.8500  1.11914e-07  6.25048e-08
      58.9500  1.07899e-07  5.99621e-08
      59.0500  1.03884e-07  5.74194e-08
      59.1500  9.98685e-08  5.48767e-08
      59.2500  9.58534e-08  5.23340e-08
      59.3500  9.18384e-08  4.97913e-08
      59.4500  8.78234e-08  4.72486e-08
      59.5500  8.38084e-08  4.47059e-08
      59.6500  7.97933e-08  4.21632e-08
      59.7500  7.57783e-08  3.96205e-08
      59.8500  7.17633e-08  3.70778e-08
      59.9500  6.77483e-08  3.45351e-08
      60.0500  6.37332e-08  3.19924e-08
      60.1500  5.97182e-08  2.94497e-08
      60.2500  5.57032e-08  2.69070e-08
      60.3500  5.26339e-08  2.50371e-08
      60.4500  5.08940e-08  2.41129e-08
      60.5500  4.91540e-08  2.31886e-08
      60.6500  4.74141e-08  2.22644e-08
      60.7500  4.56741e-08  2.13401e-08
      60.8500  4.39342e-08  2.04159e-08
      60.9500  4.21942e-08  1.94916e-08
      61.0500  4.04542e-08  1.85674e-08
      61.1500  3.87143e-08  1.76432e-08
      61.2500  3.69743e-08  1.67189e-08
      61.3500  3.52344e-08  1.57947e-08
      61.4500  3.34944e-08  1.48704e-08
      61.5500  3.17545e-08  1.39462e-08
      61.6500  3.00145e-08  1.30219e-08
      61.7500  2.82746e-08  1.20977e-08
      61.8500  2.65346e-08  1.11734e-08
      61.9500  2.49052e-08  1.03134e-08
      62.0500  2.41306e-08  9.95010e-09
      62.1500  2.33560e-08  9.58678e-09
      62.2500  2.25814e-08  9.22346e-09
      62.3500  2.18068e-08  8.86015e-09
      62.4500  2.10322e-08  8.49683e-09
      62.5500  2.02576e-08  8.13351e-09
      62.6500  1.94831e-08  7.77019e-09
      62.7500  1.87085e-08  7.40688e-09
      62.8500  1.79339e-08  7.04356e-09
      62.9500  1.71593e-08  6.68024e-09
      63.0500  1.63847e-08  6.31693e-09
      63.1500  1.56101e-08  5.95361e-09
      63.2500  1.48355e-08  5.59029e-09
      63.3500  1.40609e-08  5.22697e-09
      63.4500  1.32863e-08  4.86366e-09
      63.5500  1.25117e-08  4.50034e-09
      63.6500  1.18843e-08  4.21419e-09
      63.7500  1.15129e-08  4.06232e-09
      63.8500  1.11416e-08  3.91044e-09
      63.9500  1.07702e-08  3.75856e-09
      64.0500  1.03988e-08  3.60668e-09
      64.1500  1.00274e-08  3.45480e-09
      64.2500  9.65607e-09  3.30292e-09
      64.3500  9.28470e-09  3.15104e-09
      64.4500  8.91332e-09  2.99916e-09
      64.5500  8.54195e-09  2.84728e-09
      64.6500  8.17058e-09  2.69540e-09
      64.7500  7.79921e-09  2.54352e-09
      64.8500  7.42783e-09  2.39165e-09
      64.9500  7.05646e-09  2.23977e-09
      65.0500  6.68509e-09  2.08789e-09
      65.1500  6.31372e-09  1.93601e-09
      65.2500  5.94234e-09  1.78413e-09
      65.3500  5.59732e-09  1.64467e-09
      65.4500  5.42520e-09  1.58668e-09
      65.5500  5.25307e-09  1.52869e-09
      65.6500  5.08094e-09  1.47070e-09
      65.7500  4.90881e-09  1.41271e-09
      65.8500  4.73668e-09  1.35472e-09
      65.9500  4.56455e-09  1.29673e-09
      66.0500  4.39242e-09  1.23874e-09
      66.1500  4.22030e-09  1.18075e-09
      66.2500  4.04817e-09  1.12276e-09
      66.3500  3.87604e-09  1.06477e-09
      66.4500  3.70391e-09  1.00678e-09
      66.5500  3.53178e-09  9.48787e-10
      66.6500  3.35965e-09  8.90797e-10
      66.7500  3.18753e-09  8.32807e-10
      66.8500  3.01540e-09  7.74817e-10
      66.9500  2.84327e-09  7.16827e-10
      67.0500  2.67114e-09  6.58837e-10
      67.1500  2.54211e-09  6.17608e-10
      67.2500  2.45882e-09  5.94169e-10
      67.3500  2.37554e-09  5.70730e-10
      67.4500  2.29225e-09  5.47291e-10
      67.5500  2.20897e-09  5.23852e-10
      67.6500  2.12568e-09  5.00413e-10
      67.7500  2.04239e-09  4.76974e-10
      67.8500  1.95911e-09  4.53535e-10
      67.9500  1.87582e-09  4.30096e-10
      68.0500  1.79253e-09  4.06657e-10
      68.1500  1.70925e-09  3.83218e-10
      68.2500  1.62596e-09  3.59778e-10
      68.3500  1.54268e-09  3.36339e-10
