 1240 lines : MEGS B CCD responsivity
 2 columns : Wavelength (nm),  Responsivity (electrons/photon) [no filter]
      76.9500      1.35512
      77.0500      1.35125
      77.1500      1.34739
      77.2500      1.34352
      77.3500      1.33965
      77.4500      1.33578
      77.5500      1.33191
      77.6500      1.32804
      77.7500      1.32418
      77.8500      1.32031
      77.9500      1.31644
      78.0500      1.31257
      78.1500      1.30870
      78.2500      1.30484
      78.3500      1.30097
      78.4500      1.29710
      78.5500      1.29323
      78.6500      1.28936
      78.7500      1.28549
      78.8500      1.28087
      78.9500      1.27620
      79.0500      1.27153
      79.1500      1.26686
      79.2500      1.26219
      79.3500      1.25752
      79.4500      1.25284
      79.5500      1.24817
      79.6500      1.24350
      79.7500      1.23883
      79.8500      1.23416
      79.9500      1.22949
      80.0500      1.22482
      80.1500      1.22015
      80.2500      1.21547
      80.3500      1.21080
      80.4500      1.20613
      80.5500      1.20146
      80.6500      1.19679
      80.7500      1.19212
      80.8500      1.18745
      80.9500      1.18255
      81.0500      1.17753
      81.1500      1.17252
      81.2500      1.16751
      81.3500      1.16249
      81.4500      1.15748
      81.5500      1.15247
      81.6500      1.14745
      81.7500      1.14244
      81.8500      1.13743
      81.9500      1.13241
      82.0500      1.12740
      82.1500      1.12239
      82.2500      1.11737
      82.3500      1.11236
      82.4500      1.10735
      82.5500      1.10233
      82.6500      1.09732
      82.7500      1.09231
      82.8500      1.08729
      82.9500      1.08228
      83.0500      1.07727
      83.1500      1.07314
      83.2500      1.06927
      83.3500      1.06540
      83.4500      1.06153
      83.5500      1.05766
      83.6500      1.05379
      83.7500      1.04993
      83.8500      1.04606
      83.9500      1.04219
      84.0500      1.03832
      84.1500      1.03445
      84.2500      1.03058
      84.3500      1.02672
      84.4500      1.02285
      84.5500      1.01898
      84.6500      1.01511
      84.7500      1.01124
      84.8500      1.00737
      84.9500      1.00351
      85.0500     0.999637
      85.1500     0.995769
      85.2500     0.991901
      85.3500     0.988118
      85.4500     0.984534
      85.5500     0.980951
      85.6500     0.977368
      85.7500     0.973784
      85.8500     0.970201
      85.9500     0.966617
      86.0500     0.963034
      86.1500     0.959450
      86.2500     0.955867
      86.3500     0.952283
      86.4500     0.948700
      86.5500     0.945117
      86.6500     0.941533
      86.7500     0.937950
      86.8500     0.934366
      86.9500     0.930783
      87.0500     0.927199
      87.1500     0.923616
      87.2500     0.920033
      87.3500     0.916449
      87.4500     0.912866
      87.5500     0.909282
      87.6500     0.905936
      87.7500     0.903535
      87.8500     0.901133
      87.9500     0.898731
      88.0500     0.896329
      88.1500     0.893927
      88.2500     0.891526
      88.3500     0.889124
      88.4500     0.886722
      88.5500     0.884320
      88.6500     0.881918
      88.7500     0.879517
      88.8500     0.877115
      88.9500     0.874713
      89.0500     0.872311
      89.1500     0.869909
      89.2500     0.867507
      89.3500     0.865106
      89.4500     0.862704
      89.5500     0.860302
      89.6500     0.857900
      89.7500     0.855498
      89.8500     0.853097
      89.9500     0.850695
      90.0500     0.848671
      90.1500     0.846973
      90.2500     0.845275
      90.3500     0.843577
      90.4500     0.841880
      90.5500     0.840182
      90.6500     0.838484
      90.7500     0.836787
      90.8500     0.835089
      90.9500     0.833391
      91.0500     0.831694
      91.1500     0.829996
