 ;  
 ;	Ran mewe_spec.pro for Temperature of 0.5 MK and 1-20 MK on 1 MK steps
 ;		and wavelength range from 0-300 Angstroms on 0.1 Angstrom grid
 ;  Then took weighted averages over all temperatures appropriate for solar min. and solar max. 
 ;		with scaling to Woods & Rottman solar reference spectrum at 200 Angstroms
 ;
 ;	Tom Woods,  5/29/04
 ;
 3000 lines : Mewe solar spectra at 0.5 MK and 1-20 MK on 1 MK steps weighted for solar min & max
 3 columns : wavelength (Angstroms), solar min and max spectra in units of photons/cm^2/second
      47.5500      219377.      803570.
      47.6500  1.32227e+06  3.87371e+06
      47.7500  1.05206e+06  3.16902e+06
      47.8500      692467.  2.18014e+06
      47.9500      220814.      806061.
      48.0500      221167.      806666.
      48.1500      221518.      807267.
      48.2500      221862.      807847.
      48.3500  1.31361e+06  3.55087e+06
      48.4500      222557.      809034.
      48.5500      222899.      809610.
      48.6500      223239.      810182.
      48.7500  2.08660e+06  5.25047e+06
      48.8500      223912.      811306.
      48.9500      224247.      811864.
      49.0500      224578.      812410.
      49.1500  4.74311e+06  1.15692e+07
      49.2500  3.94749e+06  1.20927e+07
      49.3500      225564.      814033.
      49.4500      225889.      814565.
      49.5500      226212.      815086.
      49.6500      226533.      815610.
      49.7500      226849.      816112.
      49.8500      227172.      816640.
      49.9500  1.10692e+06  2.59537e+06
      50.0500      227804.      817655.
      50.1500      490432.  1.60643e+06
      50.2500      230854.      972373.
      50.3500      228739.      819139.
      50.4500  6.16860e+06  2.40361e+07
      50.5500  5.50522e+06  1.50757e+07
      50.6500  5.52224e+06  1.51214e+07
      50.7500      229964.      821059.
      50.8500      230272.      821548.
      50.9500      230704.      832722.
      51.0500      236998.  1.21222e+06
      51.1500      231177.      822951.
      51.2500      231471.      823396.
      51.3500      231774.      823871.
      51.4500      232071.      824326.
      51.5500      232366.      824774.
      51.6500      232661.      825226.
      51.7500      232950.      825655.
      51.8500      799397.  1.95797e+06
      51.9500  1.23154e+07  3.07614e+07
      52.0500  1.00331e+06  2.35884e+06
      52.1500      221500.      797610.
      52.2500  3.00308e+06  9.21623e+06
      52.3500      221962.      798217.
      52.4500      222193.      798520.
      52.5500      222423.      798821.
      52.6500      224184.      911696.
      52.7500      224548.      917715.
      52.8500  8.78759e+06  2.44279e+07
      52.9500      404693.  1.34757e+06
      53.0500      223555.      800274.
      53.1500      223779.      800559.
      53.2500      223998.      800825.
      53.3500      224225.      801122.
      53.4500      224446.      801399.
      53.5500      224667.      801676.
      53.6500      224887.      801951.
      53.7500      225102.      802205.
      53.8500      225324.      802490.
      53.9500      225543.      802762.
      54.0500      225759.      803024.
      54.1500  4.40767e+06  1.38890e+07
      54.2500      226189.      803542.
      54.3500      226408.      803818.
      54.4500      226623.      804077.
      54.5500      226837.      804337.
      54.6500  3.14434e+06  1.16841e+07
      54.7500      296856.      942525.
      54.8500      227475.      805103.
      54.9500      227743.      808944.
      55.0500  5.38558e+06  1.37305e+07
      55.1500      228110.      805856.
